"msa","name_msa","fipstate","fipscty","name_county"
"16020","Cape Girardeau, MO-IL Metro Area","29","017","Bollinger County, Missouri"
"16020","Cape Girardeau, MO-IL Metro Area","29","031","Cape Girardeau County, Missouri"
"16060","Carbondale-Marion, IL Metro Area","17","077","Jackson County, Illinois"
"16060","Carbondale-Marion, IL Metro Area","17","199","Williamson County, Illinois"
"16100","Carlsbad-Artesia, NM Micro Area","35","015","Eddy County, New Mexico"
"16180","Carson City, NV Metro Area","32","510","Carson City, Nevada"
"16220","Casper, WY Metro Area","56","025","Natrona County, Wyoming"
"16260","Cedar City, UT Micro Area","49","021","Iron County, Utah"
"16300","Cedar Rapids, IA Metro Area","19","011","Benton County, Iowa"
"16300","Cedar Rapids, IA Metro Area","19","105","Jones County, Iowa"
"16300","Cedar Rapids, IA Metro Area","19","113","Linn County, Iowa"
"16340","Cedartown, GA Micro Area","13","233","Polk County, Georgia"
"16380","Celina, OH Micro Area","39","107","Mercer County, Ohio"
"16460","Centralia, IL Micro Area","17","121","Marion County, Illinois"
"16500","Centralia, WA Micro Area","53","041","Lewis County, Washington"
"16540","Chambersburg-Waynesboro, PA Metro Area","42","055","Franklin County, Pennsylvania"
"16580","Champaign-Urbana, IL Metro Area","17","019","Champaign County, Illinois"
"16580","Champaign-Urbana, IL Metro Area","17","053","Ford County, Illinois"
"16580","Champaign-Urbana, IL Metro Area","17","147","Piatt County, Illinois"
"16620","Charleston, WV Metro Area","54","005","Boone County, West Virginia"
"16620","Charleston, WV Metro Area","54","015","Clay County, West Virginia"
"16620","Charleston, WV Metro Area","54","039","Kanawha County, West Virginia"
"16660","Charleston-Mattoon, IL Micro Area","17","029","Coles County, Illinois"
"16660","Charleston-Mattoon, IL Micro Area","17","035","Cumberland County, Illinois"
"16700","Charleston-North Charleston, SC Metro Area","45","015","Berkeley County, South Carolina"
"16700","Charleston-North Charleston, SC Metro Area","45","019","Charleston County, South Carolina"
"16700","Charleston-North Charleston, SC Metro Area","45","035","Dorchester County, South Carolina"
"16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","37","025","Cabarrus County, North Carolina"
"16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","37","071","Gaston County, North Carolina"
"16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","37","097","Iredell County, North Carolina"
"16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","37","109","Lincoln County, North Carolina"
"16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","37","119","Mecklenburg County, North Carolina"
"16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","37","159","Rowan County, North Carolina"
"16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","37","179","Union County, North Carolina"
"16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","45","023","Chester County, South Carolina"
"16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","45","057","Lancaster County, South Carolina"
"16740","Charlotte-Concord-Gastonia, NC-SC Metro Area","45","091","York County, South Carolina"
"16820","Charlottesville, VA Metro Area","51","003","Albemarle County, Virginia"
"16820","Charlottesville, VA Metro Area","51","029","Buckingham County, Virginia"
"16820","Charlottesville, VA Metro Area","51","065","Fluvanna County, Virginia"
"16820","Charlottesville, VA Metro Area","51","079","Greene County, Virginia"
"16820","Charlottesville, VA Metro Area","51","125","Nelson County, Virginia"
"16820","Charlottesville, VA Metro Area","51","540","Charlottesville city, Virginia"
"16860","Chattanooga, TN-GA Metro Area","13","047","Catoosa County, Georgia"
"16860","Chattanooga, TN-GA Metro Area","13","083","Dade County, Georgia"
"16860","Chattanooga, TN-GA Metro Area","13","295","Walker County, Georgia"
"16860","Chattanooga, TN-GA Metro Area","47","065","Hamilton County, Tennessee"
"16860","Chattanooga, TN-GA Metro Area","47","115","Marion County, Tennessee"
"16860","Chattanooga, TN-GA Metro Area","47","153","Sequatchie County, Tennessee"
"16940","Cheyenne, WY Metro Area","56","021","Laramie County, Wyoming"
"16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","17","031","Cook County, Illinois"
"16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","17","037","DeKalb County, Illinois"
"16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","17","043","DuPage County, Illinois"
"16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","17","063","Grundy County, Illinois"
"16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","17","089","Kane County, Illinois"
"16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","17","093","Kendall County, Illinois"
"16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","17","097","Lake County, Illinois"
"16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","17","111","McHenry County, Illinois"
"16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","17","197","Will County, Illinois"
"16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","18","073","Jasper County, Indiana"
"16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","18","089","Lake County, Indiana"
"16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","18","111","Newton County, Indiana"
"16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","18","127","Porter County, Indiana"
"16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area","55","059","Kenosha County, Wisconsin"
"17020","Chico, CA Metro Area","06","007","Butte County, California"
"17060","Chillicothe, OH Micro Area","39","141","Ross County, Ohio"
"17140","Cincinnati, OH-KY-IN Metro Area","18","029","Dearborn County, Indiana"
"17140","Cincinnati, OH-KY-IN Metro Area","18","115","Ohio County, Indiana"
"17140","Cincinnati, OH-KY-IN Metro Area","18","161","Union County, Indiana"
"17140","Cincinnati, OH-KY-IN Metro Area","21","015","Boone County, Kentucky"
"17140","Cincinnati, OH-KY-IN Metro Area","21","023","Bracken County, Kentucky"
"17140","Cincinnati, OH-KY-IN Metro Area","21","037","Campbell County, Kentucky"
"17140","Cincinnati, OH-KY-IN Metro Area","21","077","Gallatin County, Kentucky"
"17140","Cincinnati, OH-KY-IN Metro Area","21","081","Grant County, Kentucky"
"17140","Cincinnati, OH-KY-IN Metro Area","21","117","Kenton County, Kentucky"
"17140","Cincinnati, OH-KY-IN Metro Area","21","191","Pendleton County, Kentucky"
"17140","Cincinnati, OH-KY-IN Metro Area","39","015","Brown County, Ohio"
"17140","Cincinnati, OH-KY-IN Metro Area","39","017","Butler County, Ohio"
"17140","Cincinnati, OH-KY-IN Metro Area","39","025","Clermont County, Ohio"
"17140","Cincinnati, OH-KY-IN Metro Area","39","061","Hamilton County, Ohio"
"17140","Cincinnati, OH-KY-IN Metro Area","39","165","Warren County, Ohio"
"17200","Claremont-Lebanon, NH-VT Micro Area","33","009","Grafton County, New Hampshire"
